Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Rating
25,CA-2012-106320,2012-09-25,2012-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.26,4.1
26,CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,4.22,4.1
27,CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,TEC-AC-10003027,Technology,Accessories,ImationÃÂ 8GB Mini TravelDrive USB 2.0ÃÂ Flash Drive,90.57,3,0.0,11.77,3.8
28,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.05,4.3
29,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.7,-7.05,3.9
30,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.53,4.0
31,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2,0.2,1.1,4.1
32,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,6,0.2,9.71,3.8
33,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6,0.7,-5.71,3.4
34,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.55,4.1
35,CA-2014-107727,2014-10-20,2014-10-24,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,OFF-PA-10000249,Office Supplies,Paper,Staples,29.47,3,0.2,9.95,4.3
36,CA-2013-117590,2013-12-09,2013-12-11,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47,4.5
37,CA-2013-117590,2013-12-09,2013-12-11,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96,3.8
38,CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.2,35.41,4.2
39,CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,3,0.32,-46.98,3.8
40,CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.3,-15.15,
41,CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4,0.2,41.76,4.1
42,CA-2014-120999,2014-09-11,2014-09-16,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4,0.2,16.56,4.2
43,CA-2013-101343,2013-07-18,2013-07-23,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.89,4.1
44,CA-2014-139619,2014-09-20,2014-09-24,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.56,4.3
45,CA-2013-118255,2013-03-12,2013-03-14,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.77,4.3
46,CA-2013-118255,2013-03-12,2013-03-14,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.21,4.3
47,CA-2011-146703,2011-10-20,2011-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.48,4.2
48,CA-2013-169194,2013-06-21,2013-06-26,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,TEC-AC-10002167,Technology,Accessories,ImationÃÂ 8gb Micro Traveldrive Usb 2.0ÃÂ Flash Drive,45.0,3,0.0,4.95,4.1
49,CA-2013-169194,2013-06-21,2013-06-26,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.1,4.5
50,CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.96,4.4
51,CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.33,3.8
52,CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.96,4.2
53,CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.1,4.4
54,CA-2013-105816,2013-12-12,2013-12-18,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.26,4.4
55,CA-2013-105816,2013-12-12,2013-12-18,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.69,3.5
56,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,4.1
57,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.55,4.4
58,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.1,4.0
59,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.99,4.3
60,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,TEC-AC-10002167,Technology,Accessories,ImationÃÂ 8gb Micro Traveldrive Usb 2.0ÃÂ Flash Drive,30.0,2,0.0,3.3,3.8
61,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.36,4.2
62,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,3.5
63,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.15,4.1
64,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,0.2,9.36,4.3
65,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.96,3.8
66,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.33,3.7
67,US-2012-164175,2012-04-30,2012-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.3,-15.22,3.3
68,CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.3,4.1
69,CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.99,4.2
70,CA-2013-119823,2013-06-05,2013-06-07,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.66,4.1
71,CA-2013-106075,2013-09-19,2013-09-24,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,1.73,4.5
72,CA-2014-114440,2014-09-15,2014-09-18,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.76,4.5
73,US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8,0.2,-114.39,3.7
74,US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.21,4.2
75,US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1,0.2,-18.2,4.6
76,US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3,0.8,-1.93,4.3
77,US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3,0.6,-5.82,4.0
78,US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.72,4.1
79,US-2011-147606,2011-11-26,2011-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.47,4.2
80,CA-2013-127208,2013-06-13,2013-06-16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2,3.6
81,CA-2013-127208,2013-06-13,2013-06-16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.04,4.5
82,CA-2011-139451,2011-10-12,2011-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.17,4.0
83,CA-2011-139451,2011-10-12,2011-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2,4.0
84,CA-2012-149734,2012-09-03,2012-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.2,62.81,4.3
85,US-2014-119662,2014-11-14,2014-11-17,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3,0.2,-48.95,4.0
86,CA-2014-140088,2014-05-29,2014-05-31,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.22,3.6
87,CA-2014-155558,2014-10-27,2014-11-03,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,TEC-AC-10001998,Technology,Accessories,LogitechÃÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.8,3.8
88,CA-2014-155558,2014-10-27,2014-11-03,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.96,4.3
89,CA-2013-159695,2013-04-06,2013-04-11,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7,0.2,13.86,4.1
90,CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.63,4
91,CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2,0.2,8.28,4.5
92,CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.11,4.0
93,CA-2012-149587,2012-01-31,2012-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.22,4.4
94,CA-2012-149587,2012-01-31,2012-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.54,3.9
95,CA-2012-149587,2012-01-31,2012-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.15,4.5
96,US-2014-109484,2014-11-07,2014-11-13,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,0.7,-3.79,4.1
97,CA-2014-161018,2014-11-10,2014-11-12,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.54,4.0
98,CA-2014-157833,2014-06-18,2014-06-21,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3,0.2,17.96,4.2
99,CA-2013-149223,2013-09-07,2013-09-12,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.59,4.3
100,CA-2013-158568,2013-08-30,2013-09-03,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7,0.2,22.62,4.3
101,CA-2013-158568,2013-08-30,2013-09-03,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3,0.2,-10.8,4.5
102,CA-2013-158568,2013-08-30,2013-09-03,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,3,0.8,-3.04,3.9
103,CA-2013-129903,2013-12-02,2013-12-05,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.72,3.9
104,US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.9,6,0.2,-26.88,4.4
105,US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.84,4.2
106,US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,3,0.7,-25.82,4.2
107,CA-2014-119004,2014-11-24,2014-11-29,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8,0.2,17.6,4.2
108,CA-2014-119004,2014-11-24,2014-11-29,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.99,1,0.2,2.1,4.2
109,CA-2014-119004,2014-11-24,2014-11-29,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.3,1,0.2,1.07,3.7
110,CA-2012-129476,2012-10-15,2012-10-20,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,TEC-AC-10000844,Technology,Accessories,LogitechÃÂ Gaming G510s - Keyboard,339.96,5,0.2,67.99,4.2
111,CA-2014-146780,2014-12-26,2014-12-31,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.91,4.4
112,CA-2013-128867,2013-11-04,2013-11-11,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.79,4.3
113,CA-2013-128867,2013-11-04,2013-11-11,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.35,4.3
